"","Participant","Task","SummaryFor","Fixed_Bug","Method_Cov","Branch_Cov","Statement_Cov","Mutation_Cov","Programming_Exp","diffTests","diffAsserts","editDist"
"1","Participant01","Rational","ArrayIntList",2,1,0.85,0.972972973,0.4927536232,"7-10 years",1,1,2
"2","Participant01","ArrayIntList","ArrayIntList",5,0.8571428571,0.8181818182,0.8484848485,0.453125,"7-10 years",0,11,762
"3","Participant02","Rational","ArrayIntList",3,1,0.9,1,0.6956521739,"3-6 years",7,12,730
"4","Participant02","ArrayIntList","ArrayIntList",5,0.8571428571,0.7727272727,0.8484848485,0.4375,"3-6 years",12,13,2413
"5","Participant03","Rational","Rational",5,0.9473684211,0.85,0.972972973,0.7246376812,"7-10 years",7,13,1113
"6","Participant03","ArrayIntList","Rational",1,0.6428571429,0.6363636364,0.6515151515,0.2734375,"7-10 years",2,1,200
"7","Participant04","Rational","Rational",3,0.9473684211,0.85,0.972972973,0.7173913043,"3-6 years",8,10,1553
"8","Participant04","ArrayIntList","Rational",3,0.7857142857,0.7727272727,0.7878787879,0.515625,"3-6 years",4,9,1124
"9","Participant05","Rational","ArrayIntList",3,0.9473684211,0.85,0.972972973,0.4782608696,"3-6 years",1,3,5
"10","Participant05","ArrayIntList","ArrayIntList",3,0.6428571429,0.6818181818,0.6515151515,0.1875,"3-6 years",0,0,0
"11","Participant06","Rational","Rational",3,0.9473684211,0.85,0.972972973,0.5869565217,"7-10 years",3,3,92
"12","Participant06","ArrayIntList","Rational",3,0.6428571429,0.6818181818,0.6515151515,0.3046875,"7-10 years",2,2,154
"13","Participant07","Rational","Rational",4,0.8947368421,0.85,0.9459459459,0.8188405797,"3-6 years",5,6,92
"14","Participant07","ArrayIntList","Rational",3,0.7857142857,0.6818181818,0.7878787879,0.375,"3-6 years",4,3,370
"15","Participant08","Rational","ArrayIntList",2,0.9473684211,0.85,0.972972973,0.4130434783,"3-6 years",2,1,42
"16","Participant08","ArrayIntList","ArrayIntList",5,0.6428571429,0.6818181818,0.6515151515,0.3046875,"3-6 years",3,0,273
"17","Participant09","Rational","ArrayIntList",2,0.9473684211,0.85,0.972972973,0.6231884058,"3-6 years",19,15,2858
